"channel","n","replications","revenue","revenue_se","channel_display","half_normal_constant","squared_rate_constant","revenue_ci_lower","revenue_ci_upper","revenue_over_sqrt_n","revenue_over_sqrt_n_se","normalized_ci_lower","normalized_ci_upper","revenue_squared","revenue_squared_se","revenue_squared_ci_lower","revenue_squared_ci_upper","squared_reference"
"Laplace",200,10000,1.4741530298521,0.0214785330752908,"Laplace",0.102054042568596,0.0104150276045928,1.43205510502453,1.51625095467967,0.104238360391512,0.00151876163874777,0.101261587579566,0.107215133203457,2.17312715542214,0.0633252892194371,2.04900958855204,2.29724472229224,2.08300552091857
"Laplace",500,10000,2.3164660968671,0.0335732078010858,"Laplace",0.102054042568596,0.0104150276045928,2.25066260957697,2.38226958415723,0.103595513203369,0.00150143949731908,0.100652691788623,0.106538334618114,5.36601517793469,0.155542395268579,5.06115208320827,5.6708782726611,5.20751380229642
"Laplace",1000,10000,3.19094335808381,0.0472603874107208,"Laplace",0.102054042568596,0.0104150276045928,3.0983129987588,3.28357371740883,0.100906488961311,0.00149450467319825,0.0979772598018425,0.10383571812078,10.1821195144992,0.301610438617415,9.59096305480907,10.7732759741893,10.4150276045928
"Laplace",2000,10000,4.55291477255078,0.0669479052964996,"Laplace",0.102054042568596,0.0104150276045928,4.42169687816964,4.68413266693192,0.101806269271865,0.00149700067194191,0.0988721479548593,0.104740390588872,20.7290329261111,0.609616214031527,19.5341851466093,21.9238807056129,20.8300552091857
"Logistic",25,10000,0.360613070109005,0.00528348614539506,"Logistic",0.0729669689236176,0.00532417855390018,0.35025743726403,0.370968702953979,0.072122614021801,0.00105669722907901,0.0700514874528061,0.0741937405907958,0.130041786333442,0.00381058831953861,0.122573033227146,0.137510539439738,0.133104463847504
"Logistic",50,10000,0.522910317094979,0.00762412563201179,"Logistic",0.0729669689236176,0.00532417855390018,0.507967030856236,0.537853603333722,0.0739506862340536,0.00107821418700274,0.0718373864275282,0.0760639860405789,0.273435199724372,0.00797346790361449,0.257807202633287,0.289063196815456,0.266208927695009
"Logistic",100,10000,0.7438716188197,0.0108182427461594,"Logistic",0.0729669689236176,0.00532417855390018,0.722667863037228,0.765075374602173,0.07438716188197,0.00108182427461594,0.0722667863037228,0.0765075374602173,0.553344985285441,0.0160947674887401,0.521799241007511,0.584890729563372,0.532417855390018
"Logistic",200,10000,1.03055509986505,0.0151629438538738,"Logistic",0.0729669689236176,0.00532417855390018,1.00083572991145,1.06027446981864,0.0728712499500954,0.00107218204218251,0.0707697731474177,0.0749727267527731,1.06204381385786,0.0312524982351541,1.00078891731695,1.12329871039876,1.06483571078004
"Logistic",500,10000,1.70389883538375,0.0243408101370153,"Logistic",0.0729669689236176,0.00532417855390018,1.6561908475152,1.7516068232523,0.0762006724540156,0.00108855412187564,0.0740671063751393,0.0783342385328918,2.90327124122208,0.0829485560895145,2.74069207128663,3.06585041115753,2.66208927695009
"Logistic",1000,10000,2.30064227749895,0.033704145451847,"Logistic",0.0729669689236176,0.00532417855390018,2.23458215241333,2.36670240258457,0.0727526967817383,0.00106581866217441,0.0706636922038764,0.0748417013596001,5.29295488901555,0.155082363906986,4.98899345575786,5.59691632227324,5.32417855390018
"Logistic",2000,10000,3.18391168201576,0.0472970212127758,"Logistic",0.0729669689236176,0.00532417855390018,3.09120952043872,3.2766138435928,0.0711944295534293,0.00105759354565016,0.069121546203955,0.0732673129029036,10.1372935988764,0.301179076727808,9.5469826084899,10.7276045892629,10.6483571078004
